rozmiar tablicy;dodanie na start;usuniecie ze startu;dodanie na koncu;usuniecie z konca;dodanie na pozycji;usuniecie z pozycji;szukanie;
20000;0.0320402;0.0147487;0.0129687;0.0127144;0.0137315;0.0129687;0.0541632;
20000;0.0272087;0.0132229;0.0127144;0.0127144;0.0129687;0.0127144;0.0294973;
20000;0.0310231;0.0236487;0.0127144;0.0127144;0.0129687;0.020343;0.0144944;
20000;0.0620461;0.0162744;0.0165287;0.0157658;0.0267002;0.0129687;0.0305145;
20000;0.0282259;0.0139858;0.0277173;0.0129687;0.0142401;0.0129687;0.0267002;
20000;0.0284802;0.0134772;0.0127144;0.0127144;0.015003;0.0129687;0.0439917;
20000;0.0294973;0.0132229;0.0127144;0.0127144;0.0129687;0.0127144;0.015003;
20000;0.0310231;0.0139858;0.0137315;0.0132229;0.0198344;0.0134772;0.0312773;
20000;0.0284802;0.0137315;0.0124601;0.0127144;0.0129687;0.0134772;0.0356002;
20000;0.0399231;0.0137315;0.0129687;0.0127144;0.0129687;0.0129687;0.0348374;
20000;0.0394145;0.0134772;0.0127144;0.0129687;0.0127144;0.0124601;0.0343288;
20000;0.0287345;0.0132229;0.0127144;0.0129687;0.0132229;0.0127144;0.0277173;
20000;0.0307688;0.0132229;0.0127144;0.0124601;0.0127144;0.0127144;0.0340745;
20000;0.0678947;0.0556889;0.0160201;0.0129687;0.0137315;0.0511118;0.00356002;
20000;0.0452631;0.0152572;0.0165287;0.0157658;0.0267002;0.0157658;0.00356002;
20000;0.0356002;0.0417031;0.0152572;0.0144944;0.0132229;0.0279716;0.0236487;
20000;0.029243;0.0132229;0.0127144;0.0129687;0.0129687;0.0129687;0.00457717;
20000;0.0315316;0.0152572;0.015003;0.015003;0.0134772;0.0129687;0.00508575;
20000;0.0338202;0.0142401;0.0132229;0.0132229;0.0129687;0.0137315;0.00686576;
20000;0.0363631;0.0294973;0.0132229;0.0132229;0.0132229;0.0249202;0.0534003;
20000;0.0300059;0.0147487;0.0129687;0.0129687;0.0132229;0.0129687;0.00890006;
20000;0.025683;0.0132229;0.0129687;0.0127144;0.0129687;0.0129687;0.00966292;
20000;0.049586;0.0155115;0.0144944;0.0129687;0.0269545;0.0129687;0.0411946;
20000;0.0289888;0.0251744;0.0152572;0.015003;0.0157658;0.020343;0.0429746;
20000;0.0340745;0.0134772;0.0129687;0.0129687;0.0132229;0.0129687;0.000508575;
20000;0.0409403;0.015003;0.0165287;0.0144944;0.0155115;0.0144944;0.0061029;
20000;0.0294973;0.027463;0.0155115;0.0132229;0.0137315;0.0231401;0.000254287;
